Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Case Fatality Ratio,Population,Density P/Km2,Land Area Km2,Median Age,Urban Population %
World,2321602.0,73499.0,159653.0,5523.0,594377.0,1567228.0,55211.0,299.0,20.0,19810967.0,2559.0,6.0,7740413332.0,512.0,128649742.0,31.0,60.0
USA,734901.0,25166.0,38780.0,1626.0,67418.0,628703.0,13536.0,2220.0,117.0,3698767.0,11174.0,5.28,331002651.0,36.0,9147420.0,38.0,83.0
Spain,191726.0,887.0,20043.0,41.0,74797.0,96886.0,7371.0,4101.0,429.0,930230.0,19896.0,10.45,46754778.0,94.0,498800.0,45.0,80.0
Italy,175925.0,3491.0,23227.0,482.0,44927.0,107771.0,2733.0,2910.0,384.0,1305833.0,21598.0,13.2,60461826.0,206.0,294140.0,47.0,69.0
France,151793.0,3824.0,19323.0,642.0,35983.0,96487.0,5833.0,2325.0,296.0,463662.0,7103.0,12.73,65273511.0,119.0,547557.0,42.0,82.0
Germany,143172.0,1775.0,4452.0,100.0,85400.0,53320.0,2922.0,1709.0,53.0,1728357.0,20629.0,3.11,83783942.0,240.0,348560.0,46.0,76.0
UK,114217.0,5525.0,15464.0,888.0,,98409.0,1559.0,1682.0,228.0,460437.0,6783.0,13.54,67886011.0,281.0,241930.0,40.0,83.0
China,82719.0,27.0,4632.0,,77029.0,1058.0,85.0,57.0,3.0,,,5.6,1439323776.0,153.0,9388211.0,38.0,61.0
Turkey,82329.0,3783.0,1890.0,121.0,10453.0,69986.0,1894.0,976.0,22.0,598933.0,7101.0,2.3,84339067.0,110.0,769630.0,32.0,76.0
Iran,80868.0,1374.0,5031.0,73.0,55987.0,19850.0,3513.0,963.0,60.0,330137.0,3931.0,6.22,83992949.0,52.0,1628550.0,32.0,76.0
Belgium,37183.0,1045.0,5453.0,290.0,8348.0,23382.0,1119.0,3208.0,471.0,145997.0,12597.0,14.67,11589623.0,383.0,30280.0,42.0,98.0
Russia,36793.0,4785.0,313.0,40.0,3057.0,33423.0,8.0,252.0,2.0,1831892.0,12553.0,0.85,145934462.0,9.0,16376870.0,40.0,74.0
Brazil,36599.0,2917.0,2347.0,206.0,14026.0,20226.0,6634.0,172.0,11.0,62985.0,296.0,6.41,212559417.0,25.0,8358140.0,33.0,88.0
Canada,33218.0,1291.0,1469.0,159.0,11168.0,20581.0,557.0,880.0,39.0,507701.0,13452.0,4.42,37742154.0,4.0,9093510.0,41.0,81.0
Netherlands,31589.0,1140.0,3601.0,142.0,250.0,27738.0,1279.0,1844.0,210.0,154911.0,9041.0,11.4,17134872.0,508.0,33720.0,43.0,92.0
Switzerland,27404.0,326.0,1368.0,41.0,17100.0,8936.0,386.0,3166.0,158.0,216400.0,25004.0,4.99,8654622.0,219.0,39516.0,43.0,74.0
Portugal,19685.0,663.0,687.0,30.0,610.0,18388.0,228.0,1931.0,67.0,235878.0,23133.0,3.49,10196709.0,111.0,91590.0,46.0,66.0
India,15722.0,1370.0,521.0,35.0,2463.0,12738.0,,11.0,0.4,335123.0,243.0,3.31,1380004385.0,464.0,2973190.0,28.0,35.0
Ireland,14758.0,778.0,571.0,41.0,77.0,14110.0,294.0,2989.0,116.0,90646.0,18358.0,3.87,4937786.0,72.0,68890.0,38.0,63.0
Austria,14671.0,76.0,443.0,12.0,10214.0,4014.0,208.0,1629.0,49.0,175932.0,19534.0,3.02,9006398.0,109.0,82409.0,43.0,57.0
Peru,14420.0,931.0,348.0,48.0,6684.0,7388.0,117.0,437.0,11.0,135895.0,4122.0,2.41,32971854.0,26.0,1280000.0,31.0,79.0
Sweden,13822.0,606.0,1511.0,111.0,550.0,11761.0,1054.0,1369.0,150.0,74600.0,7387.0,10.93,10099265.0,25.0,410340.0,41.0,88.0
Israel,13265.0,283.0,164.0,13.0,3456.0,9645.0,164.0,1533.0,19.0,187250.0,21634.0,1.24,8655535.0,400.0,21640.0,30.0,93.0
South Korea,10653.0,18.0,232.0,2.0,7937.0,2484.0,55.0,208.0,5.0,546463.0,10659.0,2.18,51269185.0,527.0,97230.0,44.0,82.0
Japan,10296.0,509.0,222.0,32.0,1069.0,9005.0,221.0,81.0,2.0,111325.0,880.0,2.16,126476461.0,347.0,364555.0,48.0,92.0
Chile,9730.0,478.0,126.0,10.0,4035.0,5569.0,360.0,509.0,7.0,108891.0,5696.0,1.29,19116201.0,26.0,743532.0,35.0,85.0
Ecuador,9022.0,572.0,456.0,35.0,1008.0,7558.0,168.0,511.0,26.0,30922.0,1753.0,5.05,17643054.0,71.0,248360.0,28.0,63.0
Poland,8742.0,363.0,347.0,15.0,981.0,7414.0,160.0,231.0,9.0,192960.0,5098.0,3.97,37846611.0,124.0,306230.0,42.0,60.0
Romania,8418.0,351.0,421.0,10.0,1730.0,6267.0,248.0,438.0,22.0,90991.0,4730.0,5.0,19237691.0,84.0,230170.0,43.0,55.0
Saudi Arabia,8274.0,1132.0,92.0,5.0,1329.0,6853.0,78.0,238.0,3.0,150000.0,4309.0,1.11,34813871.0,16.0,2149690.0,32.0,84.0
