Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Case Fatality Ratio,Population,Density P/Km2,Land Area Km2,Median Age,Urban Population %,CODE
Norway,7078.0,42.0,165.0,1.0,32.0,6881.0,58.0,1306.0,30.0,142166.0,26224.0,2.33,5421241.0,15.0,365268.0,40.0,83.0,MEX
UAE,6781.0,479.0,41.0,4.0,1286.0,5454.0,1.0,686.0,4.0,767000.0,77550.0,0.6,9890402.0,118.0,83600.0,33.0,86.0,DNK
Czechia,6701.0,95.0,186.0,5.0,1298.0,5217.0,84.0,626.0,17.0,168096.0,15697.0,2.78,10708981.0,139.0,77240.0,43.0,74.0,NOR
Australia,6612.0,26.0,71.0,1.0,4230.0,2311.0,48.0,259.0,3.0,420996.0,16510.0,1.07,25499884.0,3.0,7682300.0,38.0,86.0,No data found for country
Singapore,6588.0,596.0,11.0,,768.0,5809.0,22.0,1126.0,2.0,94796.0,16203.0,0.17,5850342.0,8358.0,700.0,42.0,,CZE
Indonesia,6575.0,327.0,582.0,47.0,686.0,5307.0,,24.0,2.0,42219.0,154.0,8.85,273523615.0,151.0,1811570.0,30.0,56.0,AUS
Serbia,6318.0,324.0,122.0,5.0,753.0,5443.0,120.0,723.0,14.0,38701.0,4429.0,1.93,8737371.0,100.0,87460.0,42.0,56.0,SGP
Philippines,6259.0,172.0,409.0,12.0,572.0,5278.0,1.0,57.0,4.0,59928.0,547.0,6.53,109581078.0,368.0,298170.0,26.0,47.0,IDN
Ukraine,5449.0,343.0,141.0,8.0,347.0,4961.0,45.0,125.0,3.0,57111.0,1306.0,2.59,43733762.0,75.0,579320.0,41.0,69.0,SRB
Qatar,5448.0,440.0,8.0,,518.0,4922.0,37.0,1891.0,3.0,62538.0,21707.0,0.15,2881053.0,248.0,11610.0,32.0,96.0,PHL
Malaysia,5389.0,84.0,89.0,1.0,3197.0,2103.0,46.0,167.0,3.0,103892.0,3210.0,1.65,32365999.0,99.0,328550.0,30.0,78.0,UKR
Belarus,4779.0,,47.0,2.0,494.0,4238.0,65.0,506.0,5.0,98231.0,10396.0,0.98,9449323.0,47.0,202910.0,40.0,79.0,QAT
Dominican Republic,4680.0,345.0,226.0,9.0,363.0,4091.0,146.0,431.0,21.0,15583.0,1436.0,4.83,10847910.0,225.0,48320.0,28.0,85.0,MYS
Panama,4273.0,63.0,120.0,4.0,140.0,4013.0,96.0,990.0,28.0,19091.0,4425.0,2.81,4314767.0,58.0,74340.0,30.0,68.0,BLR
Finland,3783.0,102.0,94.0,4.0,1700.0,1989.0,68.0,683.0,17.0,57300.0,10342.0,2.48,5540720.0,18.0,303890.0,43.0,86.0,DOM
Colombia,3621.0,,166.0,,691.0,2764.0,98.0,71.0,3.0,59002.0,1160.0,4.58,50882891.0,46.0,1109500.0,31.0,80.0,PAN
Luxembourg,3550.0,13.0,73.0,1.0,627.0,2850.0,31.0,5671.0,117.0,33666.0,53781.0,2.06,625978.0,242.0,2590.0,40.0,88.0,FIN
South Africa,3158.0,124.0,54.0,2.0,903.0,2201.0,36.0,53.0,0.9,114711.0,1934.0,1.71,59308690.0,49.0,1213090.0,28.0,67.0,COL
Egypt,3032.0,,224.0,,701.0,2107.0,,30.0,2.0,55000.0,537.0,7.39,102334404.0,103.0,995450.0,25.0,43.0,LUX
Argentina,2839.0,,132.0,,709.0,1998.0,123.0,63.0,3.0,32712.0,724.0,4.65,45195774.0,17.0,2736690.0,32.0,93.0,ZAF
Morocco,2820.0,135.0,138.0,1.0,322.0,2360.0,1.0,76.0,4.0,14189.0,384.0,4.89,36910560.0,83.0,446300.0,30.0,64.0,EGY
Thailand,2765.0,32.0,47.0,,1928.0,790.0,61.0,40.0,0.7,100498.0,1440.0,1.7,69799978.0,137.0,510890.0,40.0,51.0,ARG
Algeria,2629.0,95.0,375.0,8.0,1047.0,1207.0,40.0,60.0,9.0,6500.0,148.0,14.26,43851044.0,18.0,2381740.0,29.0,73.0,MAR
Moldova,2472.0,121.0,67.0,10.0,457.0,1948.0,80.0,613.0,17.0,10488.0,2600.0,2.71,4033963.0,123.0,32850.0,38.0,43.0,THA
Bangladesh,2456.0,312.0,91.0,7.0,75.0,2290.0,1.0,15.0,0.6,23941.0,145.0,3.71,164689383.0,1265.0,130170.0,28.0,39.0,DZA
Greece,2235.0,,110.0,,269.0,1856.0,67.0,214.0,11.0,53290.0,5113.0,4.92,10423054.0,81.0,128900.0,46.0,85.0,MDA
Hungary,1916.0,82.0,189.0,17.0,250.0,1477.0,61.0,198.0,20.0,46353.0,4798.0,9.86,9660351.0,107.0,90530.0,43.0,72.0,BGD
Kuwait,1915.0,164.0,7.0,1.0,305.0,1603.0,38.0,448.0,2.0,,,0.37,4270571.0,240.0,17820.0,37.0,,GRC
Bahrain,1873.0,100.0,7.0,,759.0,1107.0,2.0,1101.0,4.0,85126.0,50028.0,0.37,1701575.0,2239.0,760.0,32.0,89.0,HUN
Croatia,1871.0,39.0,47.0,8.0,709.0,1115.0,23.0,456.0,11.0,24186.0,5891.0,2.51,4105267.0,73.0,55960.0,44.0,58.0,KWT
Iceland,1771.0,11.0,9.0,,1291.0,471.0,3.0,5190.0,26.0,41091.0,120416.0,0.51,341243.0,3.0,100250.0,37.0,94.0,BHR
Kazakhstan,1676.0,61.0,17.0,,400.0,1259.0,22.0,89.0,0.9,100878.0,5373.0,1.01,18776707.0,7.0,2699700.0,31.0,58.0,HRV
Uzbekistan,1543.0,53.0,5.0,,225.0,1313.0,8.0,46.0,0.1,136000.0,4063.0,0.32,33469203.0,79.0,425400.0,28.0,50.0,ISL
Iraq,1539.0,26.0,82.0,,1009.0,448.0,,38.0,2.0,56147.0,1396.0,5.33,40222493.0,93.0,434320.0,21.0,73.0,KAZ
Estonia,1528.0,16.0,40.0,2.0,164.0,1324.0,10.0,1152.0,30.0,40333.0,30405.0,2.62,1326535.0,31.0,42390.0,42.0,68.0,UZB
New Zealand,1431.0,9.0,12.0,1.0,912.0,507.0,18.0,297.0,2.0,83224.0,17258.0,0.84,4822233.0,18.0,263310.0,38.0,87.0,IRQ
Azerbaijan,1398.0,25.0,19.0,1.0,712.0,667.0,21.0,138.0,2.0,95747.0,9443.0,1.36,10139177.0,123.0,82658.0,32.0,56.0,EST
Slovenia,1330.0,13.0,74.0,4.0,192.0,1064.0,26.0,640.0,36.0,41265.0,19849.0,5.56,2078938.0,103.0,20140.0,45.0,55.0,NZL
Lithuania,1298.0,59.0,35.0,2.0,242.0,1021.0,14.0,477.0,13.0,64035.0,23522.0,2.7,2722289.0,43.0,62674.0,45.0,71.0,AZE
Armenia,1291.0,43.0,20.0,,545.0,726.0,30.0,436.0,7.0,12680.0,4279.0,1.55,2963243.0,104.0,28470.0,35.0,63.0,SVN
Bosnia and Herzegovina,1285.0,17.0,48.0,1.0,347.0,890.0,4.0,392.0,15.0,17818.0,5431.0,3.74,3280819.0,64.0,51000.0,43.0,52.0,LTU
Oman,1266.0,86.0,7.0,1.0,233.0,1026.0,3.0,248.0,1.0,,,0.55,5106626.0,16.0,309500.0,31.0,87.0,ARM
North Macedonia,1207.0,37.0,51.0,2.0,179.0,977.0,15.0,579.0,24.0,11870.0,5697.0,4.23,2083374.0,83.0,25220.0,39.0,59.0,BIH
Slovakia,1161.0,72.0,12.0,1.0,229.0,920.0,10.0,213.0,2.0,44278.0,8110.0,1.03,5459642.0,114.0,48088.0,41.0,54.0,OMN
Cuba,1035.0,49.0,34.0,2.0,255.0,746.0,16.0,91.0,3.0,25309.0,2234.0,3.29,11326616.0,106.0,106440.0,42.0,78.0,MKD
Hong Kong,1026.0,2.0,4.0,,602.0,420.0,8.0,137.0,0.5,131786.0,17579.0,0.39,7496981.0,7140.0,1050.0,45.0,,SVK
Cameroon,1017.0,,42.0,,305.0,670.0,33.0,38.0,2.0,,,4.13,26545863.0,56.0,472710.0,19.0,56.0,CUB
Afghanistan,996.0,63.0,33.0,3.0,131.0,832.0,7.0,26.0,0.8,6422.0,165.0,3.31,38928346.0,60.0,652860.0,18.0,25.0,HKG
Bulgaria,894.0,16.0,42.0,1.0,161.0,691.0,36.0,129.0,6.0,26417.0,3802.0,4.7,6948445.0,64.0,108560.0,45.0,76.0,CMR
Tunisia,866.0,,37.0,,43.0,786.0,33.0,73.0,3.0,15332.0,1297.0,4.27,11818619.0,76.0,155360.0,33.0,70.0,AFG
Djibouti,846.0,114.0,2.0,,102.0,742.0,,856.0,2.0,8144.0,8243.0,0.24,988000.0,43.0,23180.0,27.0,79.0,BGR
Ghana,834.0,,9.0,,99.0,726.0,4.0,27.0,0.3,60916.0,1960.0,1.08,31072940.0,137.0,227540.0,22.0,57.0,TUN
Ivory Coast,801.0,,8.0,,239.0,554.0,,30.0,0.3,,,1.0,26378274.0,83.0,318000.0,19.0,51.0,DJI
Cyprus,767.0,6.0,12.0,,81.0,674.0,15.0,635.0,10.0,34087.0,28233.0,1.56,1207359.0,131.0,9240.0,37.0,67.0,GHA
Latvia,727.0,15.0,5.0,,88.0,634.0,5.0,385.0,3.0,35881.0,19023.0,0.69,1886198.0,30.0,62200.0,44.0,69.0,No data found for country
Andorra,713.0,9.0,36.0,1.0,235.0,442.0,17.0,9228.0,466.0,1673.0,21653.0,5.05,77265.0,164.0,470.0,,88.0,CYP
Lebanon,673.0,1.0,21.0,,102.0,550.0,27.0,99.0,3.0,20929.0,3066.0,3.12,6825445.0,667.0,10230.0,30.0,78.0,LVA
Costa Rica,655.0,,4.0,,97.0,554.0,10.0,129.0,0.8,10138.0,1990.0,0.61,5094118.0,100.0,51060.0,33.0,80.0,AND
Niger,639.0,,19.0,,113.0,507.0,,26.0,0.8,4715.0,195.0,2.97,24206644.0,19.0,1266700.0,15.0,17.0,LBN
Burkina Faso,576.0,11.0,36.0,,338.0,202.0,,28.0,2.0,,,6.25,20903273.0,76.0,273600.0,18.0,31.0,CRI
Albania,562.0,14.0,26.0,,314.0,222.0,5.0,195.0,9.0,5542.0,1926.0,4.63,2877797.0,105.0,27400.0,36.0,63.0,NGA
Kyrgyzstan,554.0,48.0,5.0,,133.0,416.0,5.0,85.0,0.8,26147.0,4008.0,0.9,6524195.0,34.0,191800.0,26.0,36.0,BFA
Nigeria,542.0,,19.0,,166.0,357.0,2.0,3.0,0.09,7153.0,35.0,3.51,206139589.0,226.0,910770.0,18.0,52.0,ALB
Bolivia,520.0,27.0,32.0,1.0,31.0,457.0,3.0,45.0,3.0,3569.0,306.0,6.15,11673021.0,11.0,1083300.0,26.0,69.0,KGZ
Guinea,518.0,,3.0,,65.0,450.0,,39.0,0.2,,,0.58,13132795.0,53.0,245720.0,18.0,39.0,NGA
Uruguay,517.0,,10.0,1.0,298.0,209.0,14.0,149.0,3.0,13207.0,3802.0,1.93,3473730.0,20.0,175020.0,36.0,96.0,BOL
Channel Islands,484.0,,21.0,,73.0,390.0,,2784.0,121.0,3320.0,19095.0,4.34,173863.0,915.0,190.0,43.0,30.0,GIN
Honduras,472.0,15.0,46.0,,15.0,411.0,10.0,48.0,5.0,2535.0,256.0,9.75,9904607.0,89.0,111890.0,24.0,57.0,URY
San Marino,461.0,6.0,39.0,,60.0,362.0,4.0,13586.0,1149.0,1711.0,50426.0,8.46,33931.0,566.0,60.0,,97.0,No data found for country
Palestine,431.0,13.0,2.0,,71.0,358.0,,84.0,0.4,17329.0,3397.0,0.46,5101414.0,847.0,6020.0,21.0,80.0,HND
Malta,427.0,1.0,3.0,,118.0,306.0,2.0,967.0,7.0,23253.0,52663.0,0.7,441543.0,1380.0,320.0,43.0,93.0,SMR
Taiwan,420.0,22.0,6.0,,189.0,225.0,,18.0,0.3,53005.0,2226.0,1.43,23816775.0,673.0,35410.0,42.0,79.0,PSE
Jordan,417.0,4.0,7.0,,276.0,134.0,5.0,41.0,0.7,20500.0,2009.0,1.68,10203134.0,115.0,88780.0,24.0,91.0,MLT
Réunion,408.0,1.0,,,237.0,171.0,4.0,456.0,,,,,895312.0,358.0,2500.0,36.0,100.0,TWN
Georgia,394.0,6.0,4.0,,93.0,297.0,6.0,99.0,1.0,5027.0,1260.0,1.02,3989167.0,57.0,69490.0,38.0,58.0,JOR
Senegal,367.0,17.0,3.0,,220.0,144.0,1.0,22.0,0.2,,,0.82,16743927.0,87.0,192530.0,19.0,49.0,REU
Mauritius,328.0,3.0,9.0,,208.0,111.0,3.0,258.0,7.0,9755.0,7670.0,2.74,1271768.0,626.0,2030.0,37.0,41.0,GEO
DRC,327.0,20.0,25.0,,26.0,276.0,,4.0,0.3,,,7.65,89561403.0,40.0,2267050.0,17.0,46.0,SEN
Montenegro,308.0,1.0,5.0,,55.0,248.0,7.0,490.0,8.0,3874.0,6168.0,1.62,628066.0,47.0,13450.0,39.0,68.0,MUS
Isle of Man,298.0,1.0,6.0,,193.0,99.0,10.0,3505.0,71.0,2465.0,28989.0,2.01,85033.0,149.0,570.0,,53.0,No data found for country
Sri Lanka,271.0,17.0,7.0,,96.0,168.0,1.0,13.0,0.3,6463.0,302.0,2.58,21413249.0,341.0,62710.0,34.0,18.0,MNE
Mayotte,271.0,17.0,4.0,,117.0,150.0,5.0,993.0,15.0,1850.0,6781.0,1.48,272815.0,728.0,375.0,20.0,46.0,IMN
Kenya,270.0,8.0,14.0,2.0,67.0,189.0,2.0,5.0,0.3,13239.0,246.0,5.19,53771296.0,94.0,569140.0,20.0,28.0,LKA
Vietnam,268.0,,,,203.0,65.0,8.0,3.0,,206253.0,2119.0,,97338579.0,314.0,310070.0,32.0,38.0,FRA
Guatemala,257.0,22.0,7.0,,21.0,229.0,3.0,14.0,0.4,7200.0,402.0,2.72,17915568.0,167.0,107160.0,23.0,52.0,KEN
Venezuela,227.0,,9.0,,117.0,101.0,4.0,8.0,0.3,299714.0,10540.0,3.96,28435940.0,32.0,882050.0,30.0,,VNM
Mali,224.0,8.0,14.0,1.0,42.0,168.0,,11.0,0.7,,,6.25,20250833.0,17.0,1220190.0,16.0,44.0,GTM
Paraguay,206.0,4.0,8.0,,41.0,157.0,1.0,29.0,1.0,4950.0,694.0,3.88,7132538.0,18.0,397300.0,26.0,62.0,VEN
El Salvador,201.0,11.0,7.0,,44.0,150.0,1.0,31.0,1.0,11160.0,1721.0,3.48,6486205.0,313.0,20720.0,28.0,73.0,MLI
Faeroe Islands,185.0,1.0,,,176.0,9.0,,3786.0,,6021.0,123222.0,,48863.0,35.0,1396.0,,43.0,PRY
Jamaica,173.0,10.0,5.0,,25.0,143.0,,58.0,2.0,1605.0,542.0,2.89,2961167.0,273.0,10830.0,31.0,55.0,SLV
Tanzania,170.0,23.0,7.0,2.0,11.0,152.0,4.0,3.0,0.1,,,4.12,59734218.0,67.0,885800.0,18.0,37.0,No data found for country
Martinique,163.0,,12.0,,73.0,78.0,11.0,434.0,32.0,,,7.36,375265.0,354.0,1060.0,47.0,92.0,JAM
Guadeloupe,148.0,,8.0,,73.0,67.0,13.0,370.0,20.0,,,5.41,400124.0,237.0,1690.0,44.0,,TZA
Rwanda,144.0,,,,69.0,75.0,,11.0,,6237.0,482.0,,12952218.0,525.0,24670.0,20.0,18.0,MTQ
Congo,143.0,,6.0,,11.0,126.0,,26.0,1.0,,,4.2,5518087.0,16.0,341500.0,19.0,70.0,FRA
Brunei,138.0,1.0,1.0,,115.0,22.0,2.0,315.0,2.0,11472.0,26223.0,0.72,437479.0,83.0,5270.0,32.0,80.0,RWA
Somalia,135.0,,7.0,,2.0,126.0,2.0,8.0,0.4,,,5.19,15893222.0,25.0,627340.0,17.0,47.0,COG
Gibraltar,132.0,,,,120.0,12.0,1.0,3918.0,,1912.0,56751.0,,33691.0,3369.0,10.0,,,BRN
Cambodia,122.0,,,,105.0,17.0,1.0,7.0,,5768.0,345.0,,16718965.0,95.0,176520.0,26.0,24.0,SOM
Madagascar,121.0,1.0,,,39.0,82.0,1.0,4.0,,2357.0,85.0,,27691018.0,48.0,581795.0,20.0,39.0,GIB
Trinidad and Tobago,114.0,,8.0,,21.0,85.0,,81.0,6.0,1320.0,943.0,7.02,1399488.0,273.0,5130.0,36.0,52.0,KHM
Gabon,109.0,1.0,1.0,,7.0,101.0,,49.0,0.4,572.0,257.0,0.92,2225734.0,9.0,257670.0,23.0,87.0,MDG
Ethiopia,108.0,3.0,3.0,,16.0,89.0,1.0,0.9,0.03,7557.0,66.0,2.78,114963588.0,115.0,1000000.0,19.0,21.0,GAB
Myanmar,108.0,10.0,5.0,,7.0,96.0,,2.0,0.09,4152.0,76.0,4.63,54409800.0,83.0,653290.0,29.0,31.0,TTO
French Guiana,96.0,,,,64.0,32.0,2.0,321.0,,,,,298682.0,4.0,82200.0,25.0,87.0,MMR
Aruba,96.0,,2.0,,44.0,50.0,4.0,899.0,19.0,1358.0,12719.0,2.08,106766.0,593.0,180.0,41.0,44.0,ETH
Monaco,94.0,,3.0,,22.0,69.0,3.0,2395.0,76.0,,,3.19,39242.0,26337.0,1.0,,,GUF
Liberia,91.0,15.0,8.0,1.0,7.0,76.0,,18.0,2.0,,,8.79,5057681.0,53.0,96320.0,19.0,53.0,ABW
Bermuda,86.0,3.0,5.0,,35.0,46.0,10.0,1381.0,80.0,638.0,10244.0,5.81,62278.0,1246.0,50.0,,97.0,MCO
Togo,84.0,,5.0,,52.0,27.0,,10.0,0.6,4295.0,519.0,5.95,8278724.0,152.0,54390.0,19.0,43.0,LBR
Liechtenstein,79.0,,1.0,,55.0,23.0,,2072.0,26.0,900.0,23605.0,1.27,38128.0,238.0,160.0,,15.0,BMU
Equatorial Guinea,79.0,,,,4.0,75.0,,56.0,,854.0,609.0,,1402985.0,50.0,28050.0,22.0,73.0,TGO
Barbados,75.0,,5.0,,17.0,53.0,4.0,261.0,17.0,1000.0,3480.0,6.67,287375.0,668.0,430.0,40.0,31.0,LIE
Sudan,66.0,,10.0,,6.0,50.0,,2.0,0.2,,,15.15,43849260.0,25.0,1765048.0,20.0,35.0,GNQ
Sint Maarten,64.0,,9.0,,12.0,43.0,6.0,1493.0,210.0,163.0,3802.0,14.06,42876.0,1261.0,34.0,,96.0,BRB
Guyana,63.0,,7.0,1.0,9.0,47.0,4.0,80.0,9.0,283.0,360.0,11.11,786552.0,4.0,196850.0,27.0,27.0,SDN
Cayman Islands,61.0,,1.0,,7.0,53.0,3.0,928.0,15.0,702.0,10681.0,1.64,65722.0,274.0,240.0,,97.0,CYM
Zambia,61.0,4.0,3.0,1.0,33.0,25.0,1.0,3.0,0.2,2586.0,141.0,4.92,18383955.0,25.0,743390.0,18.0,45.0,NLD
Cabo Verde,61.0,3.0,1.0,,1.0,59.0,,110.0,2.0,,,1.64,555987.0,138.0,4030.0,28.0,68.0,GUY
Bahamas,55.0,,9.0,,10.0,36.0,1.0,140.0,23.0,,,16.36,393244.0,39.0,10010.0,32.0,86.0,ZMB
French Polynesia,55.0,,,,2.0,53.0,1.0,196.0,,1302.0,4635.0,,280908.0,77.0,3660.0,34.0,64.0,CPV
Uganda,55.0,,,,28.0,27.0,,1.0,,11101.0,243.0,,45741007.0,229.0,199810.0,17.0,26.0,BHS
Maldives,52.0,17.0,,,16.0,36.0,,96.0,,3714.0,6871.0,,540544.0,1802.0,300.0,30.0,35.0,PYF
Libya,49.0,,1.0,,11.0,37.0,,7.0,0.1,707.0,103.0,2.04,6871292.0,4.0,1759540.0,29.0,78.0,UGA
Guinea-Bissau,46.0,,,,,46.0,,23.0,,1500.0,762.0,,1968001.0,70.0,28120.0,19.0,45.0,MDV
Macao,45.0,,,,17.0,28.0,1.0,69.0,,,,,649335.0,21645.0,30.0,39.0,,LBY
Haiti,44.0,,3.0,,,41.0,,4.0,0.3,498.0,44.0,6.82,11402528.0,414.0,27560.0,24.0,57.0,GNB
Eritrea,39.0,,,,3.0,36.0,,11.0,,,,,3546421.0,35.0,101000.0,19.0,63.0,HTI
Syria,39.0,1.0,3.0,1.0,5.0,31.0,,2.0,0.2,,,7.69,17500658.0,95.0,183630.0,26.0,60.0,MAC
Mozambique,39.0,4.0,,,8.0,31.0,,1.0,,1037.0,33.0,,31255435.0,40.0,786380.0,18.0,38.0,ERI
Saint Martin,37.0,,2.0,,19.0,16.0,5.0,957.0,52.0,,,5.41,38666.0,730.0,53.0,,0.0,SYR
Benin,35.0,,1.0,,18.0,16.0,,3.0,0.08,,,2.86,12123200.0,108.0,112760.0,19.0,48.0,MOZ
Chad,33.0,,,,8.0,25.0,,2.0,,,,,16425864.0,13.0,1259200.0,17.0,23.0,MAF
Mongolia,32.0,1.0,,,7.0,25.0,,10.0,,1554.0,474.0,,3278290.0,2.0,1553560.0,28.0,67.0,BEN
Nepal,31.0,,,,4.0,27.0,,1.0,,29567.0,1015.0,,29136808.0,203.0,143350.0,25.0,21.0,TCD
Sierra Leone,30.0,,,,,30.0,,4.0,,,,,7976983.0,111.0,72180.0,19.0,43.0,MNG
Zimbabwe,25.0,,3.0,,2.0,20.0,,2.0,0.2,2626.0,177.0,12.0,14862924.0,38.0,386850.0,19.0,38.0,NPL
Angola,24.0,,2.0,,6.0,16.0,,0.7,0.06,,,8.33,32866272.0,26.0,1246700.0,17.0,67.0,SLE
Antigua and Barbuda,23.0,,3.0,,3.0,17.0,1.0,235.0,31.0,73.0,745.0,13.04,97929.0,223.0,440.0,34.0,26.0,ZWE
Eswatini,22.0,,1.0,,8.0,13.0,,19.0,0.9,714.0,615.0,4.55,1160164.0,67.0,17200.0,21.0,30.0,AGO
Botswana,20.0,5.0,1.0,,,19.0,,9.0,0.4,4432.0,1885.0,5.0,2351627.0,4.0,566730.0,24.0,73.0,ATG
Laos,19.0,,,,2.0,17.0,,3.0,,1333.0,183.0,,7275560.0,32.0,230800.0,24.0,36.0,SWZ
Timor-Leste,19.0,1.0,,,1.0,18.0,,14.0,,,,,1318445.0,89.0,14870.0,21.0,33.0,BWA
