Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Case Fatality Ratio,Population,Density P/Km2,Land Area Km2,Median Age,Urban Population %,CODE
World,2386742.0,56736.0,164179.0,4147.0,612449.0,1609770.0,54290.0,308.0,21.0,20474736.0,2645.0,6.0,7740413332.0,512.0,128649742.0,31.0,60.0,YEM
USA,755162.0,16370.0,40109.0,1095.0,68822.0,646231.0,13551.0,2281.0,121.0,3803766.0,11492.0,5.31,331002651.0,36.0,9147420.0,38.0,83.0,No data found for country
Spain,195944.0,1528.0,20453.0,410.0,77357.0,98134.0,7371.0,4191.0,437.0,930230.0,19896.0,10.44,46754778.0,94.0,498800.0,45.0,80.0,USA
Italy,178972.0,3047.0,23660.0,433.0,47055.0,108257.0,2635.0,2960.0,391.0,1356541.0,22436.0,13.22,60461826.0,206.0,294140.0,47.0,69.0,ESP
France,152578.0,785.0,19718.0,395.0,36578.0,96282.0,5744.0,2338.0,302.0,463662.0,7103.0,12.92,65273511.0,119.0,547557.0,42.0,82.0,ITA
Germany,144387.0,663.0,4547.0,9.0,88000.0,51840.0,2889.0,1723.0,54.0,1728357.0,20629.0,3.15,83783942.0,240.0,348560.0,46.0,76.0,FRA
UK,120067.0,5850.0,16060.0,596.0,,103663.0,1559.0,1769.0,237.0,482063.0,7101.0,13.38,67886011.0,281.0,241930.0,40.0,83.0,DEU
Turkey,86306.0,3977.0,2017.0,127.0,11976.0,72313.0,1922.0,1023.0,24.0,634277.0,7521.0,2.34,84339067.0,110.0,769630.0,32.0,76.0,UKR
China,82735.0,16.0,4632.0,,77062.0,1041.0,85.0,57.0,3.0,,,5.6,1439323776.0,153.0,9388211.0,38.0,61.0,AIA
Iran,82211.0,1343.0,5118.0,87.0,57023.0,20070.0,3456.0,979.0,61.0,341662.0,4068.0,6.23,83992949.0,52.0,1628550.0,32.0,76.0,TUR
Russia,42853.0,6060.0,361.0,48.0,3291.0,39201.0,8.0,294.0,2.0,1940000.0,13294.0,0.84,145934462.0,9.0,16376870.0,40.0,74.0,CHN
Belgium,38496.0,1313.0,5683.0,230.0,8757.0,24056.0,1081.0,3322.0,490.0,153778.0,13269.0,14.76,11589623.0,383.0,30280.0,42.0,98.0,IRN
Brazil,36925.0,203.0,2372.0,11.0,14026.0,20527.0,6634.0,174.0,11.0,62985.0,296.0,6.42,212559417.0,25.0,8358140.0,33.0,88.0,RUS
Canada,33951.0,568.0,1509.0,39.0,11207.0,21235.0,557.0,900.0,40.0,536062.0,14203.0,4.44,37742154.0,4.0,9093510.0,41.0,81.0,BEL
Netherlands,32655.0,1066.0,3684.0,83.0,250.0,28721.0,1279.0,1906.0,215.0,154911.0,9041.0,11.28,17134872.0,508.0,33720.0,43.0,92.0,BRA
Switzerland,27740.0,336.0,1393.0,25.0,17800.0,8547.0,386.0,3205.0,161.0,221263.0,25566.0,5.02,8654622.0,219.0,39516.0,43.0,74.0,CAN
Portugal,20206.0,521.0,714.0,27.0,610.0,18882.0,224.0,1982.0,70.0,235878.0,23133.0,3.53,10196709.0,111.0,91590.0,46.0,66.0,NLD
India,17615.0,1250.0,556.0,35.0,2769.0,14290.0,,13.0,0.4,401586.0,291.0,3.16,1380004385.0,464.0,2973190.0,28.0,35.0,CHE
Ireland,15251.0,493.0,610.0,39.0,77.0,14564.0,294.0,3089.0,124.0,90646.0,18358.0,4.0,4937786.0,72.0,68890.0,38.0,63.0,PRT
Austria,14749.0,78.0,452.0,9.0,10501.0,3796.0,204.0,1638.0,50.0,179243.0,19902.0,3.06,9006398.0,109.0,82409.0,43.0,57.0,IND
Peru,14420.0,,348.0,,6684.0,7388.0,117.0,437.0,11.0,135895.0,4122.0,2.41,32971854.0,26.0,1280000.0,31.0,79.0,IRL
Sweden,14385.0,563.0,1540.0,29.0,550.0,12295.0,450.0,1424.0,152.0,74600.0,7387.0,10.71,10099265.0,25.0,410340.0,41.0,88.0,AUT
Israel,13362.0,97.0,171.0,7.0,3564.0,9627.0,156.0,1544.0,20.0,187250.0,21634.0,1.28,8655535.0,400.0,21640.0,30.0,93.0,PER
Japan,10797.0,501.0,236.0,14.0,1159.0,9402.0,217.0,85.0,2.0,112816.0,892.0,2.19,126476461.0,347.0,364555.0,48.0,92.0,SWE
South Korea,10661.0,8.0,234.0,2.0,8042.0,2385.0,55.0,208.0,5.0,559109.0,10905.0,2.19,51269185.0,527.0,97230.0,44.0,82.0,ISR
Chile,10088.0,358.0,133.0,7.0,4338.0,5617.0,360.0,528.0,7.0,113649.0,5945.0,1.32,19116201.0,26.0,743532.0,35.0,85.0,JPN
Ecuador,9468.0,446.0,474.0,18.0,1061.0,7933.0,124.0,537.0,27.0,31809.0,1803.0,5.01,17643054.0,71.0,248360.0,28.0,63.0,No data found for country
Saudi Arabia,9362.0,1088.0,97.0,5.0,1398.0,7867.0,97.0,269.0,3.0,180000.0,5170.0,1.04,34813871.0,16.0,2149690.0,32.0,84.0,CHL
Poland,9287.0,545.0,360.0,13.0,1040.0,7887.0,160.0,245.0,10.0,204246.0,5397.0,3.88,37846611.0,124.0,306230.0,42.0,60.0,ECU
Romania,8746.0,328.0,445.0,24.0,1892.0,6409.0,256.0,455.0,23.0,93611.0,4866.0,5.09,19237691.0,84.0,230170.0,43.0,55.0,SAU
Pakistan,8348.0,710.0,168.0,25.0,1868.0,6312.0,46.0,38.0,0.8,98522.0,446.0,2.01,220892340.0,287.0,770880.0,23.0,35.0,POL
Mexico,7497.0,622.0,650.0,104.0,2627.0,4220.0,207.0,58.0,5.0,49167.0,381.0,8.67,128932753.0,66.0,1943950.0,29.0,84.0,ROU
Denmark,7384.0,142.0,355.0,9.0,4141.0,2888.0,76.0,1275.0,61.0,94277.0,16277.0,4.81,5792202.0,137.0,42430.0,42.0,88.0,PAK
