Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Case Fatality Ratio,Population,Density P/Km2,Land Area Km2,Median Age,Urban Population %
Mayotte,245.0,12.0,4.0,1.0,117.0,124.0,6.0,898.0,15.0,1700.0,6231.0,1.63,272815.0,728.0,375.0,20.0,46.0
Sri Lanka,244.0,6.0,7.0,,77.0,160.0,1.0,11.0,0.3,4768.0,223.0,2.87,21413249.0,341.0,62710.0,34.0,18.0
Guatemala,214.0,18.0,7.0,2.0,21.0,186.0,3.0,12.0,0.4,7200.0,402.0,3.27,17915568.0,167.0,107160.0,23.0,52.0
Venezuela,204.0,,9.0,,111.0,84.0,4.0,7.0,0.3,268503.0,9442.0,4.41,28435940.0,32.0,882050.0,30.0,
Paraguay,199.0,25.0,8.0,,30.0,161.0,1.0,28.0,1.0,4612.0,647.0,4.02,7132538.0,18.0,397300.0,26.0,62.0
Faeroe Islands,184.0,,,,171.0,13.0,,3766.0,,5846.0,119641.0,,48863.0,35.0,1396.0,,43.0
El Salvador,177.0,13.0,7.0,1.0,38.0,132.0,2.0,27.0,1.0,9267.0,1429.0,3.95,6486205.0,313.0,20720.0,28.0,73.0
Mali,171.0,,13.0,,34.0,124.0,,8.0,0.6,,,7.6,20250833.0,17.0,1220190.0,16.0,44.0
Martinique,158.0,,8.0,,73.0,77.0,17.0,421.0,21.0,,,5.06,375265.0,354.0,1060.0,47.0,92.0
Tanzania,147.0,53.0,5.0,1.0,11.0,131.0,4.0,2.0,0.08,,,3.4,59734218.0,67.0,885800.0,18.0,37.0
Guadeloupe,145.0,,8.0,,67.0,70.0,13.0,362.0,20.0,,,5.52,400124.0,237.0,1690.0,44.0,
Jamaica,143.0,,5.0,,25.0,113.0,,48.0,2.0,1424.0,481.0,3.5,2961167.0,273.0,10830.0,31.0,55.0
Rwanda,143.0,5.0,,,65.0,78.0,,11.0,,6237.0,482.0,,12952218.0,525.0,24670.0,20.0,18.0
Congo,143.0,26.0,6.0,1.0,11.0,126.0,,26.0,1.0,,,4.2,5518087.0,16.0,341500.0,19.0,70.0
Brunei,136.0,,1.0,,112.0,23.0,2.0,311.0,2.0,11089.0,25348.0,0.74,437479.0,83.0,5270.0,32.0,80.0
Gibraltar,132.0,1.0,,,105.0,27.0,1.0,3918.0,,1760.0,52239.0,,33691.0,3369.0,10.0,,
Cambodia,122.0,,,,98.0,24.0,1.0,7.0,,5768.0,345.0,,16718965.0,95.0,176520.0,26.0,24.0
Madagascar,117.0,6.0,,,33.0,84.0,1.0,4.0,,2357.0,85.0,,27691018.0,48.0,581795.0,20.0,39.0
Somalia,116.0,36.0,6.0,1.0,2.0,108.0,2.0,7.0,0.4,,,5.17,15893222.0,25.0,627340.0,17.0,47.0
Trinidad and Tobago,114.0,,8.0,,20.0,86.0,,81.0,6.0,1298.0,927.0,7.02,1399488.0,273.0,5130.0,36.0,52.0
Gabon,108.0,28.0,1.0,,7.0,100.0,,49.0,0.4,572.0,257.0,0.93,2225734.0,9.0,257670.0,23.0,87.0
Aruba,96.0,1.0,2.0,,43.0,51.0,1.0,899.0,19.0,1298.0,12157.0,2.08,106766.0,593.0,180.0,41.0,44.0
French Guiana,96.0,10.0,,,61.0,35.0,2.0,321.0,,,,,298682.0,4.0,82200.0,25.0,87.0
Ethiopia,96.0,4.0,3.0,,15.0,78.0,1.0,0.8,0.03,6231.0,54.0,3.12,114963588.0,115.0,1000000.0,19.0,21.0
Monaco,94.0,1.0,3.0,,20.0,71.0,3.0,2395.0,76.0,,,3.19,39242.0,26337.0,1.0,,
Myanmar,88.0,3.0,4.0,,5.0,79.0,,2.0,0.07,3236.0,59.0,4.55,54409800.0,83.0,653290.0,29.0,31.0
Bermuda,83.0,2.0,5.0,,35.0,43.0,9.0,1333.0,80.0,552.0,8863.0,6.02,62278.0,1246.0,50.0,,97.0
Togo,83.0,2.0,5.0,,48.0,30.0,,10.0,0.6,3926.0,474.0,6.02,8278724.0,152.0,54390.0,19.0,43.0
Liechtenstein,79.0,,1.0,,55.0,23.0,,2072.0,26.0,900.0,23605.0,1.27,38128.0,238.0,160.0,,15.0
Equatorial Guinea,79.0,28.0,,,4.0,75.0,,56.0,,854.0,609.0,,1402985.0,50.0,28050.0,22.0,73.0
Liberia,76.0,17.0,7.0,1.0,7.0,62.0,,15.0,1.0,,,9.21,5057681.0,53.0,96320.0,19.0,53.0
Barbados,75.0,,5.0,,15.0,55.0,4.0,261.0,17.0,965.0,3358.0,6.67,287375.0,668.0,430.0,40.0,31.0
Guyana,63.0,8.0,6.0,,9.0,48.0,4.0,80.0,8.0,283.0,360.0,9.52,786552.0,4.0,196850.0,27.0,27.0
Cayman Islands,61.0,1.0,1.0,,7.0,53.0,3.0,928.0,15.0,690.0,10499.0,1.64,65722.0,274.0,240.0,,97.0
Sint Maarten,57.0,,9.0,,12.0,36.0,6.0,1329.0,210.0,163.0,3802.0,15.79,42876.0,1261.0,34.0,,96.0
Uganda,56.0,1.0,,,20.0,36.0,,1.0,,9975.0,218.0,,45741007.0,229.0,199810.0,17.0,26.0
Cabo Verde,56.0,,1.0,,1.0,54.0,,101.0,2.0,,,1.79,555987.0,138.0,4030.0,28.0,68.0
French Polynesia,55.0,,,,,55.0,1.0,196.0,,920.0,3275.0,,280908.0,77.0,3660.0,34.0,64.0
Bahamas,54.0,1.0,9.0,1.0,6.0,39.0,1.0,137.0,23.0,,,16.67,393244.0,39.0,10010.0,32.0,86.0
Zambia,52.0,4.0,2.0,,30.0,20.0,1.0,3.0,0.1,2191.0,119.0,3.85,18383955.0,25.0,743390.0,18.0,45.0
Libya,49.0,,1.0,,11.0,37.0,,7.0,0.1,699.0,102.0,2.04,6871292.0,4.0,1759540.0,29.0,78.0
Macao,45.0,,,,16.0,29.0,1.0,69.0,,,,,649335.0,21645.0,30.0,39.0,
Haiti,43.0,2.0,3.0,,,40.0,,4.0,0.3,365.0,32.0,6.98,11402528.0,414.0,27560.0,24.0,57.0
Guinea-Bissau,43.0,,,,,43.0,,22.0,,1500.0,762.0,,1968001.0,70.0,28120.0,19.0,45.0
Syria,38.0,5.0,2.0,,5.0,31.0,,2.0,0.1,,,5.26,17500658.0,95.0,183630.0,26.0,60.0
Benin,35.0,,1.0,,18.0,16.0,,3.0,0.08,,,2.86,12123200.0,108.0,112760.0,19.0,48.0
Saint Martin,35.0,,2.0,,13.0,20.0,5.0,905.0,52.0,,,5.71,38666.0,730.0,53.0,,0.0
Eritrea,35.0,,,,,35.0,,10.0,,,,,3546421.0,35.0,101000.0,19.0,63.0
Mozambique,34.0,3.0,,,2.0,32.0,,1.0,,898.0,29.0,,31255435.0,40.0,786380.0,18.0,38.0
Sudan,33.0,1.0,6.0,1.0,4.0,23.0,,0.8,0.1,,,18.18,43849260.0,25.0,1765048.0,20.0,35.0
Mongolia,31.0,,,,5.0,26.0,,9.0,,1450.0,442.0,,3278290.0,2.0,1553560.0,28.0,67.0
Nepal,30.0,14.0,,,2.0,28.0,,1.0,,15800.0,542.0,,29136808.0,203.0,143350.0,25.0,21.0
Maldives,28.0,3.0,,,16.0,12.0,,52.0,,3497.0,6469.0,,540544.0,1802.0,300.0,30.0,35.0
Chad,27.0,,,,5.0,22.0,,2.0,,,,,16425864.0,13.0,1259200.0,17.0,23.0
Sierra Leone,26.0,11.0,,,,26.0,,3.0,,,,,7976983.0,111.0,72180.0,19.0,43.0
Zimbabwe,24.0,1.0,3.0,,2.0,19.0,,2.0,0.2,1299.0,87.0,12.5,14862924.0,38.0,386850.0,19.0,38.0
Antigua and Barbuda,23.0,,3.0,,3.0,17.0,1.0,235.0,31.0,73.0,745.0,13.04,97929.0,223.0,440.0,34.0,26.0
Angola,19.0,,2.0,,5.0,12.0,,0.6,0.06,,,10.53,32866272.0,26.0,1246700.0,17.0,67.0
Laos,19.0,,,,2.0,17.0,,3.0,,1288.0,177.0,,7275560.0,32.0,230800.0,24.0,36.0
Timor-Leste,18.0,,,,1.0,17.0,,14.0,,,,,1318445.0,89.0,14870.0,21.0,33.0
Belize,18.0,,2.0,,,16.0,1.0,45.0,5.0,651.0,1637.0,11.11,397628.0,17.0,22810.0,25.0,46.0
New Caledonia,18.0,,,,14.0,4.0,1.0,63.0,,3316.0,11615.0,,285498.0,16.0,18280.0,34.0,72.0
Malawi,17.0,1.0,2.0,,3.0,12.0,1.0,0.9,0.1,417.0,22.0,11.76,19129952.0,203.0,94280.0,18.0,18.0
Fiji,17.0,,,,,17.0,,19.0,,,,,896445.0,49.0,18270.0,28.0,59.0
Eswatini,16.0,,1.0,,8.0,7.0,,14.0,0.9,714.0,615.0,6.25,1160164.0,67.0,17200.0,21.0,30.0
Dominica,16.0,,,,8.0,8.0,,222.0,,345.0,4793.0,,71986.0,96.0,750.0,,74.0
Namibia,16.0,,,,4.0,12.0,,6.0,,362.0,142.0,,2540905.0,3.0,823290.0,22.0,55.0
Botswana,15.0,,1.0,,,14.0,,6.0,0.4,3602.0,1532.0,6.67,2351627.0,4.0,566730.0,24.0,73.0
Saint Lucia,15.0,,,,11.0,4.0,,82.0,,319.0,1737.0,,183627.0,301.0,610.0,34.0,19.0
Curaçao,14.0,,1.0,,10.0,3.0,,85.0,6.0,269.0,1639.0,7.14,164093.0,370.0,444.0,42.0,89.0
Grenada,14.0,,,,6.0,8.0,4.0,124.0,,92.0,818.0,,112523.0,331.0,340.0,32.0,35.0
St. Vincent Grenadines,12.0,,,,1.0,11.0,,108.0,,87.0,784.0,,110940.0,284.0,390.0,33.0,53.0
Seychelles,11.0,,,,5.0,6.0,,112.0,,,,,98347.0,214.0,460.0,34.0,56.0
