Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Case Fatality Ratio,Population,Density P/Km2,Land Area Km2,Median Age,Urban Population %
World,2246899.0,85292.0,154071.0,8615.0,569429.0,1523055.0,56927.0,290.0,19.0,19104661.0,2468.0,6.0,7740413332.0,512.0,128649742.0,31.0,60.0
USA,708823.0,31253.0,37095.0,2478.0,59628.0,612100.0,13476.0,2141.0,112.0,3571106.0,10789.0,5.23,331002651.0,36.0,9147420.0,38.0,83.0
Spain,190839.0,5891.0,20002.0,687.0,74797.0,96040.0,7371.0,4082.0,428.0,930230.0,19896.0,10.48,46754778.0,94.0,498800.0,45.0,80.0
Italy,172434.0,3493.0,22745.0,575.0,42727.0,106962.0,2812.0,2852.0,376.0,1244108.0,20577.0,13.19,60461826.0,206.0,294140.0,47.0,69.0
France,147969.0,1909.0,18681.0,761.0,34420.0,94868.0,6027.0,2267.0,286.0,463662.0,7103.0,12.62,65273511.0,119.0,547557.0,42.0,82.0
Germany,141397.0,3699.0,4352.0,300.0,83114.0,53931.0,5013.0,1688.0,52.0,1728357.0,20629.0,3.08,83783942.0,240.0,348560.0,46.0,76.0
UK,108692.0,5599.0,14576.0,847.0,,93772.0,1559.0,1601.0,215.0,438991.0,6467.0,13.41,67886011.0,281.0,241930.0,40.0,83.0
China,82692.0,325.0,4632.0,1290.0,77944.0,116.0,89.0,57.0,3.0,,,5.6,1439323776.0,153.0,9388211.0,38.0,61.0
Iran,79494.0,1499.0,4958.0,89.0,54064.0,20472.0,3563.0,946.0,59.0,319879.0,3808.0,6.24,83992949.0,52.0,1628550.0,32.0,76.0
Turkey,78546.0,4353.0,1769.0,126.0,8631.0,68146.0,1845.0,931.0,21.0,558413.0,6621.0,2.25,84339067.0,110.0,769630.0,32.0,76.0
Belgium,36138.0,1329.0,5163.0,306.0,7961.0,23014.0,1140.0,3118.0,445.0,139387.0,12027.0,14.29,11589623.0,383.0,30280.0,42.0,98.0
Brazil,33682.0,2999.0,2141.0,194.0,14026.0,17515.0,6634.0,158.0,10.0,62985.0,296.0,6.36,212559417.0,25.0,8358140.0,33.0,88.0
Russia,32008.0,4070.0,273.0,41.0,2590.0,29145.0,8.0,219.0,2.0,1718019.0,11773.0,0.85,145934462.0,9.0,16376870.0,40.0,74.0
Canada,31642.0,1536.0,1310.0,115.0,10328.0,20004.0,557.0,838.0,35.0,503003.0,13327.0,4.14,37742154.0,4.0,9093510.0,41.0,81.0
Netherlands,30449.0,1235.0,3459.0,144.0,250.0,26740.0,1279.0,1777.0,202.0,154911.0,9041.0,11.36,17134872.0,508.0,33720.0,43.0,92.0
Switzerland,27078.0,346.0,1327.0,46.0,16400.0,9351.0,386.0,3129.0,153.0,206400.0,23849.0,4.9,8654622.0,219.0,39516.0,43.0,74.0
Portugal,19022.0,181.0,657.0,28.0,519.0,17846.0,222.0,1866.0,64.0,221049.0,21678.0,3.45,10196709.0,111.0,91590.0,46.0,66.0
Austria,14595.0,119.0,431.0,21.0,9704.0,4460.0,227.0,1621.0,48.0,169272.0,18795.0,2.95,9006398.0,109.0,82409.0,43.0,57.0
India,14352.0,922.0,486.0,38.0,2041.0,11825.0,,10.0,0.4,335123.0,243.0,3.39,1380004385.0,464.0,2973190.0,28.0,35.0
Ireland,13980.0,709.0,530.0,44.0,77.0,13373.0,156.0,2831.0,107.0,90646.0,18358.0,3.79,4937786.0,72.0,68890.0,38.0,63.0
Peru,13489.0,998.0,300.0,26.0,6541.0,6648.0,137.0,409.0,9.0,127513.0,3867.0,2.22,32971854.0,26.0,1280000.0,31.0,79.0
Sweden,13216.0,676.0,1400.0,67.0,550.0,11266.0,482.0,1309.0,139.0,74600.0,7387.0,10.59,10099265.0,25.0,410340.0,41.0,88.0
Israel,12982.0,224.0,151.0,9.0,3126.0,9705.0,168.0,1500.0,17.0,187250.0,21634.0,1.16,8655535.0,400.0,21640.0,30.0,93.0
South Korea,10635.0,22.0,230.0,1.0,7829.0,2576.0,55.0,207.0,4.0,546463.0,10659.0,2.16,51269185.0,527.0,97230.0,44.0,82.0
Japan,9787.0,556.0,190.0,,935.0,8662.0,193.0,77.0,2.0,100703.0,796.0,1.94,126476461.0,347.0,364555.0,48.0,92.0
Chile,9252.0,445.0,116.0,11.0,3621.0,5515.0,384.0,484.0,6.0,103873.0,5434.0,1.25,19116201.0,26.0,743532.0,35.0,85.0
Ecuador,8450.0,225.0,421.0,18.0,838.0,7191.0,168.0,479.0,24.0,27868.0,1580.0,4.98,17643054.0,71.0,248360.0,28.0,63.0
Poland,8379.0,461.0,332.0,18.0,866.0,7181.0,160.0,221.0,9.0,179654.0,4747.0,3.96,37846611.0,124.0,306230.0,42.0,60.0
Romania,8067.0,360.0,411.0,19.0,1508.0,6148.0,258.0,419.0,21.0,85805.0,4460.0,5.09,19237691.0,84.0,230170.0,43.0,55.0
Saudi Arabia,7142.0,762.0,87.0,4.0,1049.0,6006.0,74.0,205.0,2.0,150000.0,4309.0,1.22,34813871.0,16.0,2149690.0,32.0,84.0
Denmark,7073.0,194.0,336.0,15.0,3389.0,3348.0,93.0,1221.0,58.0,87024.0,15024.0,4.75,5792202.0,137.0,42430.0,42.0,88.0
Pakistan,7025.0,106.0,135.0,7.0,1765.0,5125.0,46.0,32.0,0.6,84704.0,383.0,1.92,220892340.0,287.0,770880.0,23.0,35.0
Norway,6937.0,32.0,161.0,9.0,32.0,6744.0,63.0,1280.0,30.0,136236.0,25130.0,2.32,5421241.0,15.0,365268.0,40.0,83.0
Czechia,6549.0,116.0,173.0,4.0,1174.0,5202.0,82.0,612.0,16.0,154307.0,14409.0,2.64,10708981.0,139.0,77240.0,43.0,74.0
Australia,6526.0,58.0,65.0,2.0,3821.0,2640.0,60.0,256.0,3.0,391530.0,15354.0,1.0,25499884.0,3.0,7682300.0,38.0,86.0
UAE,6302.0,477.0,37.0,2.0,1188.0,5077.0,1.0,637.0,4.0,767000.0,77550.0,0.59,9890402.0,118.0,83600.0,33.0,86.0
Mexico,6297.0,450.0,486.0,37.0,2125.0,3686.0,207.0,49.0,4.0,40091.0,311.0,7.72,128932753.0,66.0,1943950.0,29.0,84.0
Indonesia,5923.0,407.0,520.0,24.0,607.0,4796.0,,22.0,2.0,37134.0,136.0,8.78,273523615.0,151.0,1811570.0,30.0,56.0
Philippines,5878.0,218.0,387.0,25.0,487.0,5004.0,1.0,54.0,4.0,48171.0,440.0,6.58,109581078.0,368.0,298170.0,26.0,47.0
Serbia,5690.0,372.0,110.0,7.0,534.0,5046.0,120.0,651.0,13.0,32566.0,3727.0,1.93,8737371.0,100.0,87460.0,42.0,56.0
Malaysia,5251.0,69.0,86.0,2.0,2967.0,2198.0,51.0,162.0,3.0,96695.0,2988.0,1.64,32365999.0,99.0,328550.0,30.0,78.0
Singapore,5050.0,623.0,11.0,1.0,708.0,4331.0,22.0,863.0,2.0,94796.0,16203.0,0.22,5850342.0,8358.0,700.0,42.0,
Belarus,4779.0,575.0,42.0,2.0,342.0,4395.0,65.0,506.0,4.0,86813.0,9187.0,0.88,9449323.0,47.0,202910.0,40.0,79.0
Qatar,4663.0,560.0,7.0,,464.0,4192.0,37.0,1619.0,2.0,58328.0,20245.0,0.15,2881053.0,248.0,11610.0,32.0,96.0
Ukraine,4662.0,501.0,125.0,9.0,246.0,4291.0,45.0,107.0,3.0,47096.0,1077.0,2.68,43733762.0,75.0,579320.0,41.0,69.0
Dominican Republic,4126.0,371.0,200.0,4.0,268.0,3658.0,146.0,380.0,18.0,13282.0,1224.0,4.85,10847910.0,225.0,48320.0,28.0,85.0
Panama,4016.0,265.0,109.0,6.0,98.0,3809.0,99.0,931.0,25.0,17850.0,4137.0,2.71,4314767.0,58.0,74340.0,30.0,68.0
Finland,3489.0,120.0,82.0,7.0,1700.0,1707.0,73.0,630.0,15.0,52500.0,9475.0,2.35,5540720.0,18.0,303890.0,43.0,86.0
Luxembourg,3480.0,36.0,72.0,3.0,579.0,2829.0,29.0,5559.0,115.0,32394.0,51749.0,2.07,625978.0,242.0,2590.0,40.0,88.0
Colombia,3439.0,206.0,153.0,9.0,634.0,2652.0,98.0,68.0,3.0,52085.0,1024.0,4.45,50882891.0,46.0,1109500.0,31.0,80.0
Egypt,2844.0,171.0,205.0,9.0,646.0,1993.0,,28.0,2.0,25000.0,244.0,7.21,102334404.0,103.0,995450.0,25.0,43.0
South Africa,2783.0,178.0,50.0,2.0,903.0,1830.0,7.0,47.0,0.8,100827.0,1700.0,1.8,59308690.0,49.0,1213090.0,28.0,67.0
Thailand,2700.0,28.0,47.0,1.0,1689.0,964.0,61.0,39.0,0.7,100498.0,1440.0,1.74,69799978.0,137.0,510890.0,40.0,51.0
Argentina,2669.0,,123.0,1.0,666.0,1880.0,126.0,59.0,3.0,28650.0,634.0,4.61,45195774.0,17.0,2736690.0,32.0,93.0
Morocco,2564.0,281.0,135.0,5.0,281.0,2148.0,1.0,69.0,4.0,12952.0,351.0,5.27,36910560.0,83.0,446300.0,30.0,64.0
Algeria,2418.0,150.0,364.0,16.0,846.0,1208.0,60.0,55.0,8.0,3359.0,77.0,15.05,43851044.0,18.0,2381740.0,29.0,73.0
Moldova,2264.0,110.0,56.0,2.0,276.0,1932.0,80.0,561.0,14.0,9848.0,2441.0,2.47,4033963.0,123.0,32850.0,38.0,43.0
Greece,2224.0,17.0,108.0,3.0,269.0,1847.0,71.0,213.0,10.0,50771.0,4871.0,4.86,10423054.0,81.0,128900.0,46.0,85.0
Bangladesh,1838.0,266.0,75.0,15.0,58.0,1705.0,1.0,11.0,0.5,19193.0,117.0,4.08,164689383.0,1265.0,130170.0,28.0,39.0
Croatia,1814.0,23.0,36.0,1.0,600.0,1178.0,30.0,442.0,9.0,20953.0,5104.0,1.98,4105267.0,73.0,55960.0,44.0,58.0
Hungary,1763.0,111.0,156.0,14.0,207.0,1400.0,63.0,182.0,16.0,41590.0,4305.0,8.85,9660351.0,107.0,90530.0,43.0,72.0
Iceland,1754.0,15.0,9.0,1.0,1224.0,521.0,6.0,5140.0,26.0,39536.0,115859.0,0.51,341243.0,3.0,100250.0,37.0,94.0
Bahrain,1740.0,40.0,7.0,,725.0,1008.0,3.0,1023.0,4.0,79564.0,46759.0,0.4,1701575.0,2239.0,760.0,32.0,89.0
Kuwait,1658.0,134.0,5.0,2.0,258.0,1395.0,32.0,388.0,1.0,,,0.3,4270571.0,240.0,17820.0,37.0,
Kazakhstan,1546.0,144.0,17.0,,347.0,1182.0,22.0,82.0,0.9,85735.0,4566.0,1.1,18776707.0,7.0,2699700.0,31.0,58.0
Iraq,1482.0,48.0,81.0,1.0,906.0,495.0,,37.0,2.0,51737.0,1286.0,5.47,40222493.0,93.0,434320.0,21.0,73.0
Estonia,1459.0,25.0,38.0,2.0,145.0,1276.0,11.0,1100.0,29.0,37594.0,28340.0,2.6,1326535.0,31.0,42390.0,42.0,68.0
New Zealand,1409.0,8.0,11.0,2.0,816.0,582.0,2.0,292.0,2.0,74401.0,15429.0,0.78,4822233.0,18.0,263310.0,38.0,87.0
Uzbekistan,1405.0,56.0,4.0,,156.0,1245.0,8.0,42.0,0.1,136000.0,4063.0,0.28,33469203.0,79.0,425400.0,28.0,50.0
Azerbaijan,1340.0,57.0,15.0,,528.0,797.0,26.0,132.0,1.0,86607.0,8542.0,1.12,10139177.0,123.0,82658.0,32.0,56.0
Slovenia,1304.0,36.0,66.0,5.0,174.0,1064.0,28.0,627.0,32.0,39330.0,18918.0,5.06,2078938.0,103.0,20140.0,45.0,55.0
Bosnia and Herzegovina,1214.0,47.0,46.0,3.0,320.0,848.0,4.0,370.0,14.0,15751.0,4801.0,3.79,3280819.0,64.0,51000.0,43.0,52.0
Armenia,1201.0,42.0,19.0,1.0,402.0,780.0,30.0,405.0,6.0,10793.0,3642.0,1.58,2963243.0,104.0,28470.0,35.0,63.0
Lithuania,1149.0,21.0,33.0,1.0,210.0,906.0,14.0,422.0,12.0,53101.0,19506.0,2.87,2722289.0,43.0,62674.0,45.0,71.0
North Macedonia,1117.0,36.0,49.0,3.0,139.0,929.0,15.0,536.0,24.0,10859.0,5212.0,4.39,2083374.0,83.0,25220.0,39.0,59.0
Oman,1069.0,50.0,6.0,2.0,176.0,887.0,3.0,209.0,1.0,,,0.56,5106626.0,16.0,309500.0,31.0,87.0
Slovakia,1049.0,72.0,9.0,1.0,175.0,865.0,5.0,192.0,2.0,37732.0,6911.0,0.86,5459642.0,114.0,48088.0,41.0,54.0
Hong Kong,1022.0,4.0,4.0,,533.0,485.0,9.0,136.0,0.5,131786.0,17579.0,0.39,7496981.0,7140.0,1050.0,45.0,
Cameroon,996.0,,22.0,,164.0,810.0,,38.0,0.8,,,2.21,26545863.0,56.0,472710.0,19.0,56.0
Cuba,923.0,61.0,31.0,4.0,192.0,700.0,17.0,81.0,3.0,23317.0,2059.0,3.36,11326616.0,106.0,106440.0,42.0,78.0
Afghanistan,906.0,66.0,30.0,,99.0,777.0,,23.0,0.8,,,3.31,38928346.0,60.0,652860.0,18.0,25.0
Tunisia,864.0,42.0,37.0,,43.0,784.0,89.0,73.0,3.0,14640.0,1239.0,4.28,11818619.0,76.0,155360.0,33.0,70.0
Bulgaria,846.0,46.0,41.0,3.0,141.0,664.0,37.0,122.0,6.0,18502.0,2663.0,4.85,6948445.0,64.0,108560.0,45.0,76.0
Cyprus,750.0,15.0,12.0,,77.0,661.0,8.0,621.0,10.0,29075.0,24081.0,1.6,1207359.0,131.0,9240.0,37.0,67.0
Djibouti,732.0,141.0,2.0,,76.0,654.0,,741.0,2.0,7486.0,7577.0,0.27,988000.0,43.0,23180.0,27.0,79.0
Andorra,696.0,23.0,35.0,2.0,191.0,470.0,17.0,9008.0,453.0,1673.0,21653.0,5.03,77265.0,164.0,470.0,,88.0
Ivory Coast,688.0,34.0,6.0,,193.0,489.0,,26.0,0.2,,,0.87,26378274.0,83.0,318000.0,19.0,51.0
Latvia,682.0,7.0,5.0,,88.0,589.0,5.0,362.0,3.0,32837.0,17409.0,0.73,1886198.0,30.0,62200.0,44.0,69.0
Lebanon,668.0,5.0,21.0,,86.0,561.0,30.0,98.0,3.0,19185.0,2811.0,3.14,6825445.0,667.0,10230.0,30.0,78.0
Costa Rica,649.0,7.0,4.0,,88.0,557.0,10.0,127.0,0.8,9752.0,1914.0,0.62,5094118.0,100.0,51060.0,33.0,80.0
Ghana,641.0,,8.0,,83.0,550.0,2.0,21.0,0.3,50719.0,1632.0,1.25,31072940.0,137.0,227540.0,22.0,57.0
Niger,627.0,43.0,18.0,4.0,110.0,499.0,,26.0,0.7,4688.0,194.0,2.87,24206644.0,19.0,1266700.0,15.0,17.0
Burkina Faso,557.0,11.0,35.0,3.0,294.0,228.0,,27.0,2.0,,,6.28,20903273.0,76.0,273600.0,18.0,31.0
Albania,539.0,21.0,26.0,,283.0,230.0,5.0,187.0,9.0,5080.0,1765.0,4.82,2877797.0,105.0,27400.0,36.0,63.0
Uruguay,502.0,,9.0,,286.0,207.0,13.0,145.0,3.0,11239.0,3235.0,1.79,3473730.0,20.0,175020.0,36.0,96.0
Nigeria,493.0,51.0,17.0,4.0,159.0,317.0,2.0,2.0,0.08,7153.0,35.0,3.45,206139589.0,226.0,910770.0,18.0,52.0
Kyrgyzstan,489.0,23.0,5.0,,114.0,370.0,5.0,75.0,0.8,26147.0,4008.0,1.02,6524195.0,34.0,191800.0,26.0,36.0
Guinea,477.0,39.0,3.0,2.0,59.0,415.0,,36.0,0.2,,,0.63,13132795.0,53.0,245720.0,18.0,39.0
Channel Islands,470.0,13.0,20.0,1.0,73.0,377.0,,2703.0,115.0,3320.0,19095.0,4.26,173863.0,915.0,190.0,43.0,30.0
Bolivia,465.0,24.0,31.0,2.0,26.0,408.0,3.0,40.0,3.0,2185.0,187.0,6.67,11673021.0,11.0,1083300.0,26.0,69.0
Honduras,442.0,16.0,41.0,6.0,10.0,391.0,10.0,45.0,4.0,2012.0,203.0,9.28,9904607.0,89.0,111890.0,24.0,57.0
San Marino,435.0,9.0,39.0,1.0,57.0,339.0,15.0,12820.0,1149.0,846.0,24933.0,8.97,33931.0,566.0,60.0,,97.0
Malta,422.0,10.0,3.0,,91.0,328.0,4.0,956.0,7.0,21164.0,47932.0,0.71,441543.0,1380.0,320.0,43.0,93.0
Jordan,407.0,5.0,7.0,,265.0,135.0,5.0,40.0,0.7,20500.0,2009.0,1.72,10203134.0,115.0,88780.0,24.0,91.0
Réunion,402.0,8.0,,,237.0,165.0,4.0,449.0,,,,,895312.0,358.0,2500.0,36.0,100.0
Palestine,402.0,28.0,2.0,,69.0,331.0,,79.0,0.4,17329.0,3397.0,0.5,5101414.0,847.0,6020.0,21.0,80.0
Taiwan,395.0,,6.0,,166.0,223.0,,17.0,0.3,51603.0,2167.0,1.52,23816775.0,673.0,35410.0,42.0,79.0
Georgia,370.0,22.0,3.0,,79.0,288.0,6.0,93.0,0.8,5027.0,1260.0,0.81,3989167.0,57.0,69490.0,38.0,58.0
Senegal,342.0,7.0,2.0,,198.0,142.0,1.0,20.0,0.1,,,0.58,16743927.0,87.0,192530.0,19.0,49.0
Mauritius,324.0,,9.0,,108.0,207.0,3.0,255.0,7.0,9755.0,7670.0,2.78,1271768.0,626.0,2030.0,37.0,41.0
Montenegro,303.0,,5.0,1.0,55.0,243.0,7.0,482.0,8.0,3874.0,6168.0,1.65,628066.0,47.0,13450.0,39.0,68.0
Isle of Man,291.0,7.0,4.0,,169.0,118.0,11.0,3422.0,47.0,2375.0,27930.0,1.37,85033.0,149.0,570.0,,53.0
DRC,287.0,20.0,23.0,1.0,25.0,239.0,,3.0,0.3,,,8.01,89561403.0,40.0,2267050.0,17.0,46.0
Vietnam,268.0,,,,198.0,70.0,8.0,3.0,,206253.0,2119.0,,97338579.0,314.0,310070.0,32.0,38.0
Kenya,246.0,12.0,11.0,,53.0,182.0,2.0,5.0,0.2,10784.0,201.0,4.47,53771296.0,94.0,569140.0,20.0,28.0
