Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Case Fatality Ratio,Population,Density P/Km2,Land Area Km2,Median Age,Urban Population %
World,1852638.0,1167.0,114240.0,59.0,422743.0,1315311.0,50849.0,239.0,14.0,14604924.0,1886.0,6.0,7740413332.0,512.0,128649742.0,31.0,60.0
USA,560433.0,133.0,22115.0,10.0,32634.0,505684.0,11766.0,1693.0,67.0,2833112.0,8559.0,3.95,331002651.0,36.0,9147420.0,38.0,83.0
Spain,166831.0,,17209.0,,62391.0,87231.0,7371.0,3568.0,368.0,600000.0,12833.0,10.32,46754778.0,94.0,498800.0,45.0,80.0
Italy,156363.0,,19899.0,,34211.0,102253.0,3343.0,2586.0,329.0,1010193.0,16708.0,12.73,60461826.0,206.0,294140.0,47.0,69.0
France,132591.0,,14393.0,,27186.0,91012.0,6845.0,2031.0,221.0,333807.0,5114.0,10.86,65273511.0,119.0,547557.0,42.0,82.0
Germany,127854.0,,3022.0,,60300.0,64532.0,4895.0,1526.0,36.0,1317887.0,15730.0,2.36,83783942.0,240.0,348560.0,46.0,76.0
UK,84279.0,,10612.0,,,73323.0,1559.0,1241.0,156.0,352974.0,5200.0,12.59,67886011.0,281.0,241930.0,40.0,83.0
China,82160.0,108.0,3341.0,2.0,77663.0,1156.0,121.0,57.0,2.0,,,4.07,1439323776.0,153.0,9388211.0,38.0,61.0
Iran,71686.0,,4474.0,,43894.0,23318.0,3930.0,853.0,53.0,263388.0,3136.0,6.24,83992949.0,52.0,1628550.0,32.0,76.0
Turkey,56956.0,,1198.0,,3446.0,52312.0,1665.0,675.0,14.0,376100.0,4459.0,2.1,84339067.0,110.0,769630.0,32.0,76.0
Belgium,29647.0,,3600.0,,6463.0,19584.0,1223.0,2558.0,311.0,102151.0,8814.0,12.14,11589623.0,383.0,30280.0,42.0,98.0
Netherlands,25587.0,,2737.0,,250.0,22600.0,1384.0,1493.0,160.0,101534.0,5926.0,10.7,17134872.0,508.0,33720.0,43.0,92.0
Switzerland,25415.0,,1106.0,,12700.0,11609.0,386.0,2937.0,128.0,193800.0,22393.0,4.35,8654622.0,219.0,39516.0,43.0,74.0
Canada,24383.0,,717.0,,7172.0,16494.0,557.0,646.0,19.0,422200.0,11186.0,2.94,37742154.0,4.0,9093510.0,41.0,81.0
Brazil,22318.0,126.0,1230.0,7.0,173.0,20915.0,296.0,105.0,6.0,62985.0,296.0,5.51,212559417.0,25.0,8358140.0,33.0,88.0
Portugal,16585.0,,504.0,,277.0,15804.0,228.0,1627.0,49.0,163616.0,16046.0,3.04,10196709.0,111.0,91590.0,46.0,66.0
Russia,15770.0,,130.0,,1291.0,14349.0,8.0,108.0,0.9,1200000.0,8223.0,0.82,145934462.0,9.0,16376870.0,40.0,74.0
Austria,13945.0,,350.0,,6987.0,6608.0,243.0,1548.0,39.0,144877.0,16086.0,2.51,9006398.0,109.0,82409.0,43.0,57.0
Israel,11145.0,,103.0,,1627.0,9415.0,183.0,1288.0,12.0,117339.0,13557.0,0.92,8655535.0,400.0,21640.0,30.0,93.0
South Korea,10537.0,25.0,217.0,3.0,7447.0,2873.0,55.0,206.0,4.0,514621.0,10038.0,2.06,51269185.0,527.0,97230.0,44.0,82.0
Sweden,10483.0,,899.0,,381.0,9203.0,839.0,1038.0,89.0,54700.0,5416.0,8.58,10099265.0,25.0,410340.0,41.0,88.0
Ireland,9655.0,,334.0,,25.0,9296.0,194.0,1955.0,68.0,53000.0,10734.0,3.46,4937786.0,72.0,68890.0,38.0,63.0
India,9240.0,35.0,331.0,,1096.0,7813.0,,7.0,0.2,189111.0,137.0,3.58,1380004385.0,464.0,2973190.0,28.0,35.0
Peru,7519.0,,193.0,,1798.0,5528.0,134.0,228.0,6.0,76506.0,2320.0,2.57,32971854.0,26.0,1280000.0,31.0,79.0
Ecuador,7466.0,,333.0,,501.0,6632.0,184.0,423.0,19.0,23635.0,1340.0,4.46,17643054.0,71.0,248360.0,28.0,63.0
Japan,7370.0,,123.0,,784.0,6463.0,129.0,58.0,1.0,77381.0,612.0,1.67,126476461.0,347.0,364555.0,48.0,92.0
Chile,7213.0,,80.0,,2059.0,5074.0,387.0,377.0,4.0,82271.0,4304.0,1.11,19116201.0,26.0,743532.0,35.0,85.0
Poland,6674.0,,232.0,,439.0,6003.0,160.0,176.0,6.0,138007.0,3646.0,3.48,37846611.0,124.0,306230.0,42.0,60.0
Norway,6525.0,,128.0,,32.0,6365.0,59.0,1204.0,24.0,126486.0,23332.0,1.96,5421241.0,15.0,365268.0,40.0,83.0
Australia,6322.0,9.0,61.0,2.0,3338.0,2923.0,81.0,248.0,2.0,353941.0,13880.0,0.96,25499884.0,3.0,7682300.0,38.0,86.0
Romania,6300.0,,316.0,,852.0,5132.0,204.0,327.0,16.0,62328.0,3240.0,5.02,19237691.0,84.0,230170.0,43.0,55.0
Denmark,6174.0,,273.0,,2123.0,3778.0,104.0,1066.0,47.0,70125.0,12107.0,4.42,5792202.0,137.0,42430.0,42.0,88.0
Czechia,5991.0,,138.0,,464.0,5389.0,87.0,559.0,13.0,125126.0,11684.0,2.3,10708981.0,139.0,77240.0,43.0,74.0
Pakistan,5374.0,144.0,93.0,2.0,1095.0,4186.0,44.0,24.0,0.4,65114.0,295.0,1.73,220892340.0,287.0,770880.0,23.0,35.0
Malaysia,4683.0,,76.0,,2108.0,2499.0,66.0,145.0,2.0,77491.0,2394.0,1.62,32365999.0,99.0,328550.0,30.0,78.0
Mexico,4661.0,442.0,296.0,23.0,1843.0,2522.0,185.0,36.0,2.0,36594.0,284.0,6.35,128932753.0,66.0,1943950.0,29.0,84.0
Philippines,4648.0,,297.0,,197.0,4154.0,1.0,42.0,3.0,33814.0,309.0,6.39,109581078.0,368.0,298170.0,26.0,47.0
Saudi Arabia,4462.0,,59.0,,761.0,3642.0,67.0,128.0,2.0,115585.0,3320.0,1.32,34813871.0,16.0,2149690.0,32.0,84.0
Indonesia,4241.0,,373.0,,359.0,3509.0,,16.0,1.0,27075.0,99.0,8.8,273523615.0,151.0,1811570.0,30.0,56.0
UAE,4123.0,,22.0,,680.0,3421.0,1.0,417.0,2.0,648195.0,65538.0,0.53,9890402.0,118.0,83600.0,33.0,86.0
Serbia,3630.0,,80.0,,400.0,3150.0,146.0,415.0,9.0,18312.0,2096.0,2.2,8737371.0,100.0,87460.0,42.0,56.0
Panama,3400.0,,87.0,,29.0,3284.0,106.0,788.0,20.0,15147.0,3511.0,2.56,4314767.0,58.0,74340.0,30.0,68.0
Luxembourg,3281.0,,66.0,,500.0,2715.0,30.0,5241.0,105.0,29165.0,46591.0,2.01,625978.0,242.0,2590.0,40.0,88.0
Qatar,2979.0,,7.0,,275.0,2697.0,37.0,1034.0,2.0,49102.0,17043.0,0.23,2881053.0,248.0,11610.0,32.0,96.0
Finland,2974.0,,56.0,,300.0,2618.0,80.0,537.0,10.0,45019.0,8125.0,1.88,5540720.0,18.0,303890.0,43.0,86.0
Dominican Republic,2967.0,,173.0,,131.0,2663.0,147.0,274.0,16.0,9275.0,855.0,5.83,10847910.0,225.0,48320.0,28.0,85.0
Ukraine,2777.0,,83.0,,89.0,2605.0,45.0,63.0,2.0,30314.0,693.0,2.99,43733762.0,75.0,579320.0,41.0,69.0
Colombia,2776.0,,109.0,,270.0,2397.0,92.0,55.0,2.0,41765.0,821.0,3.93,50882891.0,46.0,1109500.0,31.0,80.0
Belarus,2578.0,,26.0,,203.0,2349.0,50.0,273.0,3.0,64000.0,6773.0,1.01,9449323.0,47.0,202910.0,40.0,79.0
Thailand,2551.0,,38.0,,1218.0,1295.0,61.0,37.0,0.5,71860.0,1030.0,1.49,69799978.0,137.0,510890.0,40.0,51.0
Singapore,2532.0,,8.0,,560.0,1964.0,31.0,433.0,1.0,72680.0,12423.0,0.32,5850342.0,8358.0,700.0,42.0,
Argentina,2208.0,66.0,95.0,5.0,468.0,1645.0,83.0,49.0,2.0,19758.0,437.0,4.3,45195774.0,17.0,2736690.0,32.0,93.0
South Africa,2173.0,,25.0,,410.0,1738.0,7.0,37.0,0.4,80085.0,1350.0,1.15,59308690.0,49.0,1213090.0,28.0,67.0
Greece,2114.0,,98.0,,269.0,1747.0,76.0,203.0,9.0,42261.0,4055.0,4.64,10423054.0,81.0,128900.0,46.0,85.0
Egypt,2065.0,,159.0,,589.0,1317.0,,20.0,2.0,25000.0,244.0,7.7,102334404.0,103.0,995450.0,25.0,43.0
Algeria,1914.0,,293.0,,591.0,1030.0,60.0,44.0,7.0,3359.0,77.0,15.31,43851044.0,18.0,2381740.0,29.0,73.0
Iceland,1701.0,,8.0,,889.0,804.0,10.0,4985.0,23.0,35253.0,103308.0,0.47,341243.0,3.0,100250.0,37.0,94.0
Moldova,1662.0,,31.0,,94.0,1537.0,80.0,412.0,8.0,6271.0,1555.0,1.87,4033963.0,123.0,32850.0,38.0,43.0
Morocco,1661.0,,118.0,,177.0,1366.0,1.0,45.0,3.0,8473.0,230.0,7.1,36910560.0,83.0,446300.0,30.0,64.0
Croatia,1600.0,,23.0,,373.0,1204.0,34.0,390.0,6.0,16381.0,3990.0,1.44,4105267.0,73.0,55960.0,44.0,58.0
Hungary,1410.0,,99.0,,118.0,1193.0,58.0,146.0,10.0,33532.0,3471.0,7.02,9660351.0,107.0,90530.0,43.0,72.0
Iraq,1352.0,,76.0,,640.0,636.0,,34.0,2.0,35415.0,880.0,5.62,40222493.0,93.0,434320.0,21.0,73.0
New Zealand,1349.0,19.0,5.0,1.0,546.0,798.0,4.0,280.0,1.0,62827.0,13029.0,0.37,4822233.0,18.0,263310.0,38.0,87.0
Estonia,1309.0,,25.0,,98.0,1186.0,11.0,987.0,19.0,30349.0,22878.0,1.91,1326535.0,31.0,42390.0,42.0,68.0
Kuwait,1234.0,,1.0,,142.0,1091.0,29.0,289.0,0.2,,,0.08,4270571.0,240.0,17820.0,37.0,
